id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
1Mytkdy3EAWY0TmAiPaFmr,Te Robo,58,157675,0,['Zato DJ'],2018-01-01,0.907,C,0.631,3.87e-06,101.998
32fb4e8XjfktfaDUFytLiG,ASAP,34,227480,0,['Mirror'],2018-01-01,0.779,F#,0.0165,0.0,134.046
43kiDtoYD0nDJYxzQwclpT,Location Unknown ◐ (feat. BEKA) - Brooklyn Session,67,328050,0,"['HONNE', 'BEKA']",2018-01-01,0.508,F,0.941,0.0,91.509
2wRotarVdI0MtxnC1wrvja,Deus Não Está Morto,56,261120,0,['Fernandinho'],2018-01-01,0.586,B,0.00508,0.000403,129.955
0uCskQ9wUuLw72hcG7DFcZ,404,32,210094,0,['Error'],2018-01-01,0.828,F#,0.0622,0.0,126.04
2HMMxCBemHQY4Qktdtcpwj,Camped,56,220602,0,['RINI'],2018-01-01,0.632,G#,0.69,1.98e-05,133.009
00ZnitZelCNdD6PgX44Y1s,S'Onireftika,30,181542,0,['Usurum'],2018-01-01,0.484,C,0.883,0.167,136.843
3C21IZG8yOH690SnMVWLuT,Original Sabahan,42,199855,0,"['Atmosfera', 'Floor 88']",2018-01-01,0.749,D,0.673,0.0,111.999
2Mh7XNWkAXgEjBXSskgUyD,Hey Hey Baby,40,139186,0,['my little airport'],2018-01-01,0.581,A,0.383,0.00333,89.983
688GnRUTvWWrJDHXsNS9HF,Next Year - 2018 Mix,0,199040,0,['Geddes the Sea'],2018-01-01,0.578,C,0.229,0.0114,121.079
7Lq3MSNnVQ4yN4acrD9DyU,The Chronic 2017,0,178169,0,"['Mike Emilio', 'Modo']",2018-01-01,0.352,F#,0.00375,1.64e-05,192.125
4UpD3qhY3KjmaCLu9f3SlW,Hardbass DAS,48,55838,1,['DJ Joppa'],2018-01-01,0.669,B,0.303,0.527,160.001
4bpyDBROAFaXmL2roHP3Mp,你叫我譯一首德國歌詞,38,201101,0,['my little airport'],2018-01-01,0.491,A,0.404,0.0426,134.0
5FuYjeizTeAjQEx56F9RfH,ไม่มีเหตุผล,41,244583,0,"['MARINA', 'นายนะ']",2018-01-01,0.82,F#,0.367,0.0,144.003
2Xn4FpumNNzg8ptNNqHB5K,האיש הפשוט,33,193665,0,['Nitan Ben Ari'],2018-01-01,0.68,E,0.156,0.0,153.998
4LtgkobW7PoVuwSvPjaGuq,P.P.P,48,196989,0,['Mozthaza'],2018-01-01,0.778,C#,0.097,1.79e-06,94.975
4caxvyJdo9BZr0QYH4VuGS,离人愁,44,247125,0,['李袁杰'],2018-01-01,0.628,F,0.393,0.0,75.026
1YDbuKfUa1gPHz0vu0IPcN,Destiny,1,329492,0,['Stephane Deschezeaux'],2018-01-01,0.82,G#,0.0104,0.0175,118.001
5op1X8TfWNUmJnwRzCQ3qL,Tsunami,51,198802,0,['DIVOKEJ BILL'],2018-01-01,0.601,D,0.0273,0.0,92.007
20RzArTj8t5exuBbnszRLz,Summer Sun,53,204410,0,['Cari Cari'],2018-01-01,0.732,B,0.484,0.218,114.007
2zVeHoUBTLkFMPYDs0M8co,La Noche,25,169535,0,"['Mariano Bermudez', 'La Sandonga']",2018-01-01,0.662,F,0.277,0.0,104.638
5Fql9FqpykZo4Klz2WDn8u,Lies,0,417829,0,['Tim Lyall'],2018-01-01,0.798,F#,0.000657,0.838,124.996
2LXCdIeoJJEJdux336Cyeo,Let's Groove On,0,424918,0,['Aad Mouthaan'],2018-01-01,0.813,A#,0.00405,0.759,121.999
00PWOnO986Qlt0h86XMm3M,Мама вылечи,53,199756,0,['Nurminsky'],2018-01-01,0.773,C#,0.0398,0.0,90.013
27RQbXMyZMqOjFvSg5slg4,缺,32,280714,0,['Hins Cheung'],2018-01-01,0.566,A#,0.642,0.0,120.015
0X46CPFsAMAPobzEgEhQAm,"My Money (feat. Bokoesam, Bizzey & Dopebwoy)",49,180687,1,"['$hirak', 'Bizzey', 'Dopebwoy', 'Bokoesam']",2018-01-01,0.895,G,0.0226,7.64e-06,99.955
4VeOCv5ybM0IyhPkiAMxEt,心,34,152571,0,['my little airport'],2018-01-01,0.349,C,0.194,0.44,105.994
